"시군구","전용면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","거래유형"
"강원도 강릉시 견소동","39.08","202209","30","        17,700","1997","중개거래"
"강원도 강릉시 견소동","84.99","202209","2","        37,500","2005","중개거래"
"강원도 강릉시 견소동","59.99","202209","25","        31,500","2005","중개거래"
"강원도 강릉시 교동","84.9866","202209","16","        28,000","2009","직거래"
"강원도 강릉시 교동","59.89","202209","29","        30,000","1999","중개거래"
"강원도 강릉시 교동","59.987","202209","2","        26,000","2003","중개거래"
"강원도 강릉시 교동","122.74","202209","26","        55,000","1999","직거래"
"강원도 강릉시 남문동","164.754","202209","24","        28,500","1992","중개거래"
"강원도 강릉시 내곡동","39.3","202209","5","         9,500","1989","중개거래"
"강원도 강릉시 내곡동","59.97","202209","22","        19,000","1997","중개거래"
"강원도 강릉시 내곡동","84.95","202209","26","        29,200","1997","중개거래"
"강원도 강릉시 내곡동","49.967","202209","20","        18,400","2022","직거래"
"강원도 강릉시 내곡동","49.967","202209","27","        22,500","2022","중개거래"
"강원도 강릉시 노암동","32.04","202209","29","         6,900","1996","중개거래"
"강원도 강릉시 노암동","49.22","202209","15","        10,000","1984","중개거래"
"강원도 강릉시 노암동","59.3","202209","20","        14,000","1984","중개거래"
"강원도 강릉시 노암동","59.3","202209","20","        14,000","1984","중개거래"
"강원도 강릉시 노암동","39.762","202209","29","        13,000","2000","중개거래"
"강원도 강릉시 노암동","59.976","202209","17","        14,500","1994","중개거래"
"강원도 강릉시 노암동","48.32","202209","17","         9,300","1989","중개거래"
"강원도 강릉시 노암동","40.69","202209","17","         6,200","1988","중개거래"
"강원도 강릉시 송정동","84.9955","202209","21","        49,500","2019","중개거래"
"강원도 강릉시 송정동","84.99","202209","7","        25,000","1991","중개거래"
"강원도 강릉시 송정동","84.96","202209","9","        26,500","1992","중개거래"
"강원도 강릉시 송정동","72.86","202209","21","        21,200","1992","중개거래"
"강원도 강릉시 송정동","84.93","202209","3","        60,500","2019","중개거래"
"강원도 강릉시 송정동","84.93","202209","19","        56,000","2019","중개거래"
"강원도 강릉시 송정동","84.93","202209","21","        63,500","2019","중개거래"
"강원도 강릉시 송정동","75.98","202209","29","        45,000","2019","중개거래"
