"시군구","전용면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","거래유형"
"강원도 강릉시 견소동","84.99","202210","4","        35,000","2005","직거래"
"강원도 강릉시 교동","84.9855","202210","17","        49,900","2009","중개거래"
"강원도 강릉시 교동","84.84","202210","6","        37,400","1999","중개거래"
"강원도 강릉시 교동","54.81","202210","5","        12,000","1985","중개거래"
"강원도 강릉시 교동","49.92","202210","9","        18,000","1999","중개거래"
"강원도 강릉시 교동","84.93","202210","11","        28,500","2001","중개거래"
"강원도 강릉시 교동","84.93","202210","21","        39,000","2001","중개거래"
"강원도 강릉시 교동","33.9","202210","26","         9,000","1995","중개거래"
"강원도 강릉시 교동","65.495","202210","13","         7,400","1981","직거래"
"강원도 강릉시 교동","99.96","202210","7","        42,500","1999","중개거래"
"강원도 강릉시 내곡동","59.84","202210","29","        19,300","1998","중개거래"
"강원도 강릉시 내곡동","84.95","202210","17","        29,200","1997","중개거래"
"강원도 강릉시 내곡동","59.97","202210","30","        18,600","1997","중개거래"
"강원도 강릉시 노암동","39.762","202210","25","        12,200","2000","중개거래"
"강원도 강릉시 노암동","105.858","202210","11","        25,500","1994","중개거래"
"강원도 강릉시 노암동","105.858","202210","11","        26,500","1994","중개거래"
"강원도 강릉시 노암동","59.976","202210","21","        14,200","1994","중개거래"
"강원도 강릉시 노암동","44.64","202210","6","        14,900","1998","중개거래"
"강원도 강릉시 노암동","44.64","202210","12","        12,000","1998","직거래"
"강원도 강릉시 사천면 사천진리","31.3167","202210","25","        15,976","2021","직거래"
"강원도 강릉시 송정동","72.86","202210","6","        18,800","1992","중개거래"
"강원도 강릉시 송정동","84.93","202210","29","        45,000","2019","직거래"
"강원도 강릉시 연곡면 영진리","30.24","202210","17","         7,000","1999","중개거래"
"강원도 강릉시 연곡면 영진리","30.24","202210","20","         6,900","1999","중개거래"
"강원도 강릉시 연곡면 영진리","59.987","202210","13","        15,000","2005","직거래"
"강원도 강릉시 연곡면 영진리","59.987","202210","11","        19,500","2005","중개거래"
"강원도 강릉시 연곡면 영진리","29.9674","202210","7","        13,600","2019","중개거래"
"강원도 강릉시 연곡면 영진리","29.9674","202210","15","        12,900","2019","중개거래"
"강원도 강릉시 연곡면 영진리","29.9674","202210","24","        14,700","2019","중개거래"
"강원도 강릉시 연곡면 영진리","29.9674","202210","24","        14,700","2019","중개거래"
"강원도 강릉시 옥천동","54.09","202210","13","         4,900","1980","직거래"
"강원도 강릉시 유천동","74.88","202210","13","        49,000","2018","중개거래"
"강원도 강릉시 유천동","74.88","202210","19","        47,000","2018","중개거래"
"강원도 강릉시 입암동","74.71","202210","14","        25,750","2014","직거래"
"강원도 강릉시 입암동","157.22","202210","17","        50,000","2007","중개거래"
"강원도 강릉시 입암동","84.96","202210","26","        41,000","2007","중개거래"
"강원도 강릉시 입암동","54.93","202210","17","        10,000","1984","중개거래"
"강원도 강릉시 입암동","59.94","202210","17","        13,000","1992","중개거래"
"강원도 강릉시 입암동","49.86","202210","25","         6,750","1987","직거래"
"강원도 강릉시 입암동","84.7","202210","5","        35,000","2006","중개거래"
"강원도 강릉시 입암동","59.8","202210","27","        15,500","1996","중개거래"
"강원도 강릉시 입암동","49.97","202210","15","        13,500","1996","중개거래"
"강원도 강릉시 입암동","49.62","202210","5","        14,500","1998","중개거래"
"강원도 강릉시 입암동","59.956","202210","5","        19,500","1998","중개거래"
"강원도 강릉시 입암동","39.348","202210","13","         7,700","1998","중개거래"
"강원도 강릉시 입암동","34.722","202210","14","         6,500","1998","중개거래"
"강원도 강릉시 입암동","34.722","202210","14","         6,500","1998","중개거래"
"강원도 강릉시 입암동","34.722","202210","30","         7,000","1998","중개거래"
"강원도 강릉시 주문진읍 교항리","49.85","202210","4","        11,900","2000","중개거래"
"강원도 강릉시 주문진읍 교항리","49.85","202210","29","        13,000","2000","중개거래"
"강원도 강릉시 주문진읍 교항리","63.18","202210","21","        15,500","1991","직거래"
"강원도 강릉시 주문진읍 교항리","36.4","202210","15","         4,200","1995","중개거래"
"강원도 강릉시 주문진읍 교항리","84.8819","202210","4","        20,000","2015","중개거래"
"강원도 강릉시 주문진읍 교항리","59.98","202210","11","         7,900","1999","중개거래"
"강원도 강릉시 주문진읍 교항리","59.98","202210","11","         7,900","1999","중개거래"
"강원도 강릉시 주문진읍 교항리","59.98","202210","12","         9,500","1999","직거래"
"강원도 강릉시 주문진읍 교항리","59.98","202210","12","        10,100","1999","중개거래"
"강원도 강릉시 주문진읍 교항리","49.86","202210","26","         8,000","1999","중개거래"
